指数代码         指数名称
========================

SHSE.000001 上证综指
SHSE.000002 上证A指
SHSE.000003 上证B指
SHSE.000004 上证工业类指数
SHSE.000005 上证商业类指数
SHSE.000006 上证房地产指数
SHSE.000007 上证公用事业股指数
SHSE.000008 上证综合股指数
SHSE.000009 上证380
SHSE.000010 上证180
SHSE.000015 上证红利
SHSE.000016 上证50
SHSE.000017 新综指
SHSE.000018 180金融
SHSE.000019 治理指数
SHSE.000020 中型综指
SHSE.000021 180治理
SHSE.000025 180基建
SHSE.000026 180资源
SHSE.000027 180运输
SHSE.000028 180成长
SHSE.000029 180价值
SHSE.000030 180R成长
SHSE.000031 180R价值
SHSE.000032 上证能源
SHSE.000033 上证材料
SHSE.000034 上证工业
SHSE.000035 上证可选
SHSE.000036 上证消费
SHSE.000037 上证医药
SHSE.000038 上证金融
SHSE.000039 上证信息
SHSE.000040 上证电信
SHSE.000041 上证公用
SHSE.000042 上证央企
SHSE.000043 超大盘
SHSE.000044 上证中盘
SHSE.000045 上证小盘
SHSE.000046 上证中小
SHSE.000047 上证全指
SHSE.000048 责任指数
SHSE.000049 上证民企
SHSE.000050 50等权
SHSE.000051 180等权
SHSE.000052 50基本
SHSE.000053 180基本
SHSE.000054 上证海外
SHSE.000055 上证地企
SHSE.000056 上证国企
SHSE.000057 全指成长
SHSE.000058 全指价值
SHSE.000059 全R成长
SHSE.000060 全R价值
SHSE.000062 上证沪企
SHSE.000063 上证周期
SHSE.000064 非周期
SHSE.000065 上证龙头
SHSE.000066 上证商品
SHSE.000067 上证新兴
SHSE.000068 上证资源
SHSE.000069 消费80
SHSE.000070 能源等权
SHSE.000071 材料等权
SHSE.000072 工业等权
SHSE.000073 可选等权
SHSE.000074 消费等权
SHSE.000075 医药等权
SHSE.000076 金融等权
SHSE.000077 信息等权
SHSE.000078 电信等权
SHSE.000079 公用等权
SHSE.000090 上证流通
SHSE.000091 沪财中小
SHSE.000092 资源50
SHSE.000093 180分层
SHSE.000094 上证上游
SHSE.000095 上证中游
SHSE.000096 上证下游
SHSE.000097 高端装备
SHSE.000098 上证F200
SHSE.000099 上证F300
SHSE.000100 上证F500
SHSE.000102 沪投资品
SHSE.000103 沪消费品
SHSE.000104 380能源
SHSE.000105 380材料
SHSE.000106 380工业
SHSE.000107 380可选
SHSE.000108 380消费
SHSE.000109 380医药
SHSE.000110 380金融
SHSE.000111 380信息
SHSE.000112 380电信
SHSE.000113 380公用
SHSE.000114 持续产业
SHSE.000115 380等权
SHSE.000117 380成长
SHSE.000118 380价值
SHSE.000119 380R成长
SHSE.000120 380R价值
SHSE.000121 医药主题
SHSE.000122 农业主题
SHSE.000123 上证180动态
SHSE.000125 上证180稳定
SHSE.000126 上证消费50
SHSE.000128 380基本
SHSE.000129 180波动
SHSE.000130 380波动
SHSE.000131 上证高新
SHSE.000132 上证100
SHSE.000133 上证150
SHSE.000134 上证银行
SHSE.000135 上证180高贝塔
SHSE.000136 上证180低贝塔
SHSE.000137 上证380高贝塔
SHSE.000138 上证380低贝塔
SHSE.000141 上证380动态
SHSE.000142 上证380稳定
SHSE.000145 优势资源
SHSE.000146 优势制造
SHSE.000147 优势消费
SHSE.000148 消费领先
